Location,Burrito,Cost,Tortilla,Temp,Meat:filling,overall,Guac,Cheese
Pollos Maria,combo chicken,6.99,3,4,2.5,3.2,Yes,Yes
El Zarape,California chicken,6.25,3.5,5,4,2.5,Yes,Yes
Vallarta express,Quesa,6.95,2,5,2.5,3.75,Yes,Yes
Porkyland ,Chicken nopalito,7.95,2.5,2.5,3,3.3,Yes,No
Porkyland ,Chicken nopalito,7.95,4,5,3,4,Yes,No
Rudy's Taco Shop,Chicken,6.6,3.5,3,3,2.8,Yes,No
Goody's,Custom,8,3,,2,2,No,Yes
Roberto's Very Mexican Food,Chicken asada,6.5,1.5,4,4.5,1.5,Yes,No
Los Primos Mexican Food,California,7.5,3,5,4,3.5,No,Yes
Lucha Libre North Park,Nutty,7.5,3.8,4,4,4.4,No,Yes
Lucha Libre North Park,California - Chicken,7.5,3.5,2.5,3,2.5,Yes,Yes
Lucha Libre North Park,California - Chicken,7.5,3.5,5,3,3,No,Yes
Lucha Libre North Park,Holy Moly,7.5,3.5,2,3,3.5,No,Yes
Lucha Libre North Park,Holy Moly,7.5,2.5,2.5,2,1.5,No,Yes
Lucha Libre North Park,Holy Moly,7.5,5,3,3,4,No,Yes
Lucha Libre North Park,Holy Moly,7.5,5,4,4,2,No,Yes
Lucha Libre North Park,Holy Moly,7.5,4,4,4,4,No,Yes
California Burrito Company,Dave's California,6.5,3,2.5,4,3.3,No,Yes
Taco Villa,Tejano,6.99,2,5,4.7,4,No,Yes
El Pollo Loco,Chicken avocado,5.99,2,3,2.5,3.2,Yes,No
